Annotation ID: 1
Video URL: -2z-CCvvm0o
Comment: Awwww Love Love love so much heart in this !!
True Value: 0
Predicted Value: false

Annotation ID: 2039
Video URL: -2z-CCvvm0o
Comment: Awwww Love Love love so much heart in this !!
True Value: 0
Predicted Value: false

Annotation ID: 2
Video URL: -2z-CCvvm0o
Comment: Bless your kind hearts.
True Value: 0
Predicted Value: false

Annotation ID: 2040
Video URL: -2z-CCvvm0o
Comment: Bless your kind hearts.
True Value: 0
Predicted Value: false

Annotation ID: 3
Video URL: -2z-CCvvm0o
Comment: Great video, the true meaning of life, to live and let live and to help all GOD's creatures, Love lives in your home!
True Value: 0
Predicted Value: false

Annotation ID: 2041
Video URL: -2z-CCvvm0o
Comment: Great video, the true meaning of life, to live and let live and to help all GOD's creatures, Love lives in your home!
True Value: 0
Predicted Value: false

Annotation ID: 4
Video URL: -2z-CCvvm0o
Comment: So cute
True Value: 0
Predicted Value: false

Annotation ID: 2042
Video URL: -2z-CCvvm0o
Comment: So cute
True Value: 0
Predicted Value: false

Annotation ID: 5
Video URL: -2z-CCvvm0o
Comment: So lovely and sweet.......
True Value: 0
Predicted Value: false

Annotation ID: 2043
Video URL: -2z-CCvvm0o
Comment: So lovely and sweet.......
True Value: 0
Predicted Value: false

Annotation ID: 6
Video URL: -2z-CCvvm0o
Comment: So touching the song
True Value: 0
Predicted Value: false

Annotation ID: 2044
Video URL: -2z-CCvvm0o
Comment: So touching the song
True Value: 0
Predicted Value: false

Annotation ID: 7
Video URL: -2z-CCvvm0o
Comment: Such a beautiful bond<3:)
True Value: 0
Predicted Value: false

Annotation ID: 2045
Video URL: -2z-CCvvm0o
Comment: Such a beautiful bond<3:)
True Value: 0
Predicted Value: false

Annotation ID: 8
Video URL: -2z-CCvvm0o
Comment: They are such beautiful creatures.
True Value: 0
Predicted Value: false

Annotation ID: 2046
Video URL: -2z-CCvvm0o
Comment: They are such beautiful creatures.
True Value: 0
Predicted Value: false

Annotation ID: 9
Video URL: -2z-CCvvm0o
Comment: This is lovely!
Thank you so much for saving this beautiful animal.
You give hope. There are good people in this world, who are the voice for the voiceless, who CARE.
Again, thank you!
True Value: 0
Predicted Value: false

Annotation ID: 2047
Video URL: -2z-CCvvm0o
Comment: This is lovely!
Thank you so much for saving this beautiful animal.
You give hope. There are good people in this world, who are the voice for the voiceless, who CARE.
Again, thank you!
True Value: 0
Predicted Value: false

Annotation ID: 10
Video URL: -2z-CCvvm0o
Comment: Thought this music was from Tarzan.
True Value: 0
Predicted Value: false

Annotation ID: 2048
Video URL: -2z-CCvvm0o
Comment: Thought this music was from Tarzan.
True Value: 0
Predicted Value: false

Annotation ID: 11
